,KC index,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,lng,sqft_living15,sqft_lot15,dists_parks (m),dists_coffee (m),dists_restr (m),dists_trail (m),dists_gyms (m),dists_bus (m),dists_groc (m),dists_play (m),dists_pubs (m)
766,766,8146100270,20150324T000000,824000.0,4.0,2.25,2490,9864,1.0,0,0,4,8,1290,1200,1961,0,98004,47.6051,-122.195,2360,9864,"[283, 747, 812, 1085, 1227, 1265]","[438, 665, 748, 840, 877, 910]","[380, 397, 632, 667, 697, 720]","[1626, 2052, 2254, 2563, 2788, 3214]","[427, 690, 776, 823, 1104, 1167]","[3250, 3347, 4079, 4272, 4273, 4318]","[660, 1193, 1527, 1647, 1679, 2268]","[1860, 3305, 3885, 5030, 5179, 5571]","[510, 803, 911, 1031, 1059, 1190]"
885,885,3323500030,20140604T000000,1270000.0,5.0,2.5,3200,17204,1.0,0,0,3,7,2160,1040,1952,0,98004,47.6209,-122.222,4090,15732,"[638, 1006, 1276, 1478, 1629, 1645]","[1377, 1378, 1396, 1405, 1415, 1562]","[962, 983, 1282, 1363, 1386, 1391]","[1759, 1881, 2381, 4187, 4677, 4677]","[1708, 1821, 1862, 1947, 2045, 2135]","[2147, 2195, 3180, 4328, 4450, 5601]","[451, 1295, 1581, 2213, 2245, 2804]","[789, 3943, 4089, 4477, 5216, 5548]","[1567, 1593, 1595, 1648, 1699, 1710]"
947,947,2925059135,20150408T000000,1321500.0,3.0,3.0,2230,12968,2.0,0,0,3,9,2230,0,1990,0,98004,47.6271,-122.197,2260,10160,"[346, 356, 822, 1125, 1662, 2100]","[842, 925, 977, 1028, 1046, 1105]","[712, 733, 738, 748, 771, 819]","[301, 3121, 3223, 3309, 3371, 3846]","[529, 790, 852, 893, 1082, 1329]","[1871, 2135, 2169, 3489, 4026, 4641]","[438, 892, 1118, 1346, 1659, 1752]","[2735, 2754, 4302, 5058, 5648, 5651]","[1082, 1127, 1220, 1255, 1289, 1333]"
1092,1092,7000100631,20150507T000000,730000.0,5.0,1.75,2690,21357,1.0,0,0,4,7,1420,1270,1952,0,98004,47.5831,-122.191,2600,17539,"[653, 846, 1103, 1387, 1393, 1968]","[1670, 1687, 1765, 1846, 1850, 2468]","[1489, 1507, 1668, 1674, 1676, 1693]","[289, 514, 1452, 2010, 2264, 2435]","[1512, 1836, 2115, 2229, 2280, 2322]","[2138, 2757, 3408, 3869, 5915, 6161]","[1480, 1822, 1886, 3123, 3131, 3288]","[715, 1744, 4194, 4619, 5099, 5109]","[1784, 2675, 2766, 3138, 3186, 3484]"
1174,1174,3250500140,20141008T000000,850000.0,3.0,1.75,1400,9900,1.0,0,0,3,7,1400,0,1951,0,98004,47.6272,-122.209,1810,10796,"[640, 1024, 1025, 1320, 1640, 1764]","[1054, 1118, 1174, 1194, 1200, 1243]","[218, 241, 947, 951, 955, 997]","[612, 2261, 2452, 3864, 4012, 4396]","[1116, 1256, 1416, 1444, 1520, 1667]","[1603, 1603, 2072, 3444, 4724, 4862]","[461, 999, 1041, 1348, 2050, 2070]","[1904, 2895, 4414, 5233, 5651, 5944]","[1177, 1232, 1299, 1361, 1417, 1455]"
1272,1272,4389200765,20140625T000000,2300000.0,4.0,3.25,4250,8570,2.0,0,0,3,9,4250,0,2004,0,98004,47.6154,-122.21,2830,12821,"[543, 561, 867, 1211, 1227, 1371]","[378, 387, 451, 482, 521, 633]","[387, 397, 485, 491, 496, 496]","[1541, 2932, 3103, 3359, 3591, 3707]","[809, 810, 927, 965, 1164, 1308]","[2819, 2838, 3321, 3898, 4757, 4778]","[515, 728, 1166, 1385, 1876, 1916]","[1789, 3169, 4170, 5429, 5541, 5945]","[634, 667, 685, 688, 696, 702]"
1282,1282,8964800445,20150209T000000,2260000.0,3.0,3.5,3110,14872,1.0,0,0,3,10,3110,0,2003,0,98004,47.6178,-122.209,3110,12433,"[672, 831, 1056, 1085, 1176, 1186]","[345, 350, 377, 384, 387, 536]","[363, 379, 385, 393, 439, 458]","[1269, 2803, 3180, 3188, 3683, 3920]","[754, 788, 1001, 1012, 1046, 1169]","[2580, 2594, 3045, 4174, 4486, 4824]","[310, 775, 1110, 1240, 1815, 1852]","[1793, 3401, 3893, 5510, 5622, 5861]","[556, 562, 575, 615, 666, 678]"
1448,1448,8907500070,20150413T000000,5350000.0,5.0,5.0,8000,23985,2.0,0,4,3,12,6720,1280,2009,0,98004,47.6232,-122.22,4600,21750,"[834, 1301, 1350, 1522, 1613, 1670]","[1344, 1346, 1368, 1382, 1395, 1406]","[710, 727, 1292, 1296, 1353, 1354]","[1522, 1790, 2225, 4199, 4703, 4821]","[1603, 1793, 1829, 1951, 2024, 2064]","[1880, 1923, 2885, 4039, 4701, 5372]","[661, 1231, 1348, 1930, 2259, 2696]","[978, 3647, 4252, 4535, 5420, 5784]","[1502, 1539, 1554, 1614, 1669, 1687]"
1533,1533,4395600060,20140630T000000,935000.0,2.0,2.5,1780,2067,2.0,0,0,5,9,1780,0,1974,0,98004,47.6132,-122.21,2320,2067,"[317, 465, 661, 997, 1329, 1340]","[464, 503, 589, 595, 615, 676]","[397, 463, 477, 505, 507, 508]","[1763, 2991, 3112, 3463, 3488, 3564]","[620, 840, 890, 1071, 1291, 1410]","[3057, 3078, 3556, 3658, 4687, 5001]","[706, 831, 1087, 1613, 1865, 1970]","[1884, 2938, 4407, 5222, 5643, 5963]","[528, 649, 726, 736, 739, 757]"
1584,1584,8964800370,20141022T000000,1375000.0,3.0,1.5,1850,10572,1.0,0,0,4,8,1850,0,1953,0,98004,47.6194,-122.208,3030,12752,"[791, 959, 1017, 1017, 1027, 1238]","[354, 367, 401, 421, 477, 523]","[302, 327, 404, 405, 407, 433]","[1078, 2750, 3099, 3223, 3736, 4058]","[653, 807, 898, 1080, 1119, 1157]","[2433, 2443, 2853, 4303, 4363, 4840]","[238, 881, 917, 1302, 1745, 1788]","[1844, 3553, 3703, 5521, 5743, 5788]","[511, 546, 565, 627, 684, 707]"
1732,1732,8081500060,20141001T000000,1928000.0,4.0,3.25,4280,20296,2.0,0,0,4,11,4280,0,1984,0,98004,47.6377,-122.212,3420,16351,"[565, 1496, 1928, 1933, 2000, 2264]","[800, 836, 879, 1312, 2139, 2299]","[927, 932, 1083, 1102, 1319, 1343]","[1377, 1768, 1929, 3607, 4686, 4729]","[1080, 2098, 2227, 2300, 2458, 2537]","[514, 562, 1331, 2327, 3654, 3882]","[907, 1382, 2184, 2336, 2928, 2973]","[1970, 2433, 4522, 4917, 4937, 5602]","[2171, 2175, 2339, 2394, 2469, 2528]"
1818,1818,9290900160,20140911T000000,1430000.0,4.0,2.5,3380,27589,2.0,0,0,3,10,3380,0,1966,0,98004,47.6292,-122.225,3390,20075,"[1026, 1250, 1370, 1647, 1702, 1839]","[733, 769, 1911, 2026, 2042, 2076]","[1104, 1105, 1627, 1904, 1918, 1935]","[1082, 1460, 1813, 4891, 4897, 5229]","[2202, 2397, 2427, 2480, 2593, 2633]","[1301, 1367, 2671, 3548, 4899, 5191]","[1392, 1678, 1902, 1919, 2974, 3250]","[1097, 3319, 4014, 5014, 5275, 5672]","[2160, 2205, 2237, 2300, 2358, 2382]"
2112,2112,7787400030,20140609T000000,1635000.0,5.0,3.5,4220,26784,1.0,0,0,3,10,2110,2110,1958,2006,98004,47.6003,-122.206,3450,33945,"[424, 515, 841, 916, 1123, 1155]","[1205, 1210, 1211, 1369, 1378, 1534]","[1069, 1089, 1100, 1102, 1116, 1118]","[2110, 2372, 2412, 2521, 2720, 3083]","[1015, 1385, 1393, 1545, 1690, 1735]","[2377, 4091, 4522, 4542, 4786, 4786]","[1412, 2036, 2133, 2146, 2477, 2549]","[1505, 3018, 3888, 5516, 5762, 5980]","[1119, 1136, 1490, 1614, 1651, 1718]"
2139,2139,8146100370,20140904T000000,735000.0,4.0,1.75,2100,7960,1.0,0,0,3,8,1340,760,1955,0,98004,47.6079,-122.195,2060,7960,"[525, 722, 818, 859, 1104, 1155]","[426, 526, 526, 534, 599, 661]","[350, 423, 445, 447, 460, 494]","[1725, 2195, 2257, 2559, 3099, 3510]","[483, 492, 693, 818, 872, 1175]","[3431, 3512, 3989, 3991, 4007, 4174]","[352, 968, 1297, 1379, 1407, 2098]","[2171, 3153, 4168, 4867, 4949, 5502]","[466, 620, 737, 752, 763, 901]"
2146,2146,3861400030,20141124T000000,950000.0,4.0,1.75,2210,19025,1.0,0,0,4,7,1460,750,1952,0,98004,47.5927,-122.203,2640,14999,"[102, 742, 968, 1362, 1476, 1505]","[1266, 1741, 1971, 1997, 2026, 2260]","[1267, 1714, 1729, 1743, 1909, 1917]","[1347, 1500, 1722, 2402, 2541, 3370]","[1609, 1767, 1774, 1818, 1850, 1936]","[1795, 3910, 4084, 4536, 5395, 5414]","[2104, 2387, 2657, 2673, 2803, 2883]","[686, 3121, 3821, 4762, 6010, 6113]","[1921, 1951, 1960, 2388, 2423, 2514]"
2176,2176,6344000060,20141015T000000,760000.0,4.0,1.75,2770,8521,1.0,0,0,4,7,1470,1300,1953,0,98004,47.6255,-122.199,1910,9380,"[269, 271, 694, 1130, 1449, 1874]","[691, 825, 939, 961, 981, 1009]","[522, 535, 559, 574, 638, 655]","[294, 3030, 3180, 3243, 3603, 3781]","[648, 657, 660, 790, 1001, 1142]","[2055, 2163, 2188, 3644, 4185, 4671]","[327, 889, 1033, 1337, 1626, 1641]","[2567, 2921, 4128, 5175, 5765, 5800]","[870, 918, 1010, 1051, 1089, 1133]"
2181,2181,6448600060,20150226T000000,1550000.0,5.0,2.5,2450,20805,2.0,0,0,4,9,2450,0,1963,0,98004,47.6275,-122.227,3020,20324,"[795, 1404, 1460, 1462, 1639, 1807]","[957, 995, 2038, 2044, 2073, 2080]","[1199, 1204, 1386, 1968, 1975, 2013]","[1081, 1559, 1957, 4903, 5113, 5146]","[2254, 2463, 2490, 2653, 2660, 2663]","[1533, 1601, 2906, 3784, 5135, 5211]","[1274, 1810, 1918, 2125, 2966, 3326]","[858, 3559, 3905, 4912, 5066, 5527]","[2185, 2226, 2249, 2310, 2366, 2387]"
2267,2267,3859900060,20150112T000000,2750000.0,5.0,4.0,6300,16065,2.0,0,1,3,12,4360,1940,2004,0,98004,47.5922,-122.207,3260,17287,"[399, 628, 1228, 1418, 1435, 1705]","[1559, 1975, 2086, 2087, 2098, 2105]","[1447, 1560, 1945, 1968, 1971, 1992]","[1566, 1580, 1618, 2698, 2845, 3484]","[1590, 1847, 1880, 1906, 1917, 2003]","[1560, 4214, 4302, 4839, 5393, 5417]","[2088, 2251, 2364, 2881, 2934, 2938]","[897, 3312, 3703, 4624, 6010, 6025]","[2022, 2034, 2143, 2373, 2499, 2535]"
2309,2309,824059083,20140902T000000,993000.0,4.0,2.0,2850,14810,2.0,0,0,5,8,2490,360,1954,0,98004,47.5892,-122.203,2430,10454,"[457, 875, 1057, 1519, 1724, 1739]","[1487, 2066, 2278, 2357, 2384, 2415]","[1489, 1565, 2043, 2077, 2297, 2304]","[1142, 1149, 1348, 2588, 2653, 3039]","[1546, 1555, 1809, 2056, 2104, 2186]","[1534, 3873, 3990, 4576, 5775, 5796]","[2275, 2482, 2511, 2590, 2898, 3002]","[499, 2870, 4144, 4393, 5701, 5962]","[2256, 2340, 2348, 2629, 2774, 2809]"
2314,2314,2451000070,20150402T000000,1400000.0,4.0,2.5,2770,8879,2.0,0,0,3,9,2770,0,2001,0,98004,47.5831,-122.193,2770,8882,"[665, 987, 1191, 1310, 1516, 2033]","[1696, 1810, 1906, 1989, 1995, 2481]","[1629, 1643, 1700, 1806, 1818, 1824]","[393, 414, 1317, 2074, 2371, 2517]","[1389, 1887, 1967, 2351, 2378, 2430]","[1989, 2891, 3539, 4010, 6065, 6249]","[1618, 1967, 2020, 2982, 3109, 3139]","[641, 1866, 4112, 4707, 5125, 5225]","[1925, 2688, 2915, 3100, 3142, 3418]"
2399,2399,3395000070,20140927T000000,1544500.0,4.0,2.75,4910,15139,1.0,0,0,4,10,2560,2350,1964,0,98004,47.6444,-122.22,3980,15139,"[748, 1504, 1603, 2012, 2059, 2327]","[961, 996, 1686, 1767, 2080, 2459]","[1450, 1599, 1635, 1646, 1678, 1682]","[1228, 1710, 2332, 3987, 4182, 4254]","[1502, 3039, 3164, 3249, 3377, 3411]","[477, 489, 1736, 1901, 3241, 3619]","[1799, 2331, 2368, 2944, 3016, 3077]","[1981, 2792, 3951, 4264, 4448, 5281]","[1687, 1692, 3256, 3311, 3380, 3441]"
2438,2438,824059277,20141215T000000,985000.0,3.0,3.5,2600,11920,2.0,0,0,5,8,2600,0,1969,0,98004,47.582,-122.194,2430,10050,"[800, 1101, 1333, 1383, 1642, 1963]","[1811, 1832, 1942, 2033, 2041, 2583]","[1663, 1667, 1835, 1837, 1838, 1856]","[271, 529, 1197, 2003, 2510, 2661]","[1257, 1877, 2028, 2454, 2487, 2511]","[1903, 2907, 3664, 4122, 6139, 6329]","[1648, 2015, 2041, 2918, 3062, 3227]","[733, 1864, 3968, 4655, 5183, 5211]","[1960, 2818, 2981, 3204, 3241, 3366]"
2449,2449,4389200796,20140522T000000,1600000.0,3.0,2.5,3160,12824,1.0,0,2,4,9,1820,1340,1966,0,98004,47.6151,-122.216,3390,11985,"[694, 927, 946, 1126, 1256, 1403]","[829, 835, 888, 922, 948, 1077]","[837, 846, 874, 932, 935, 939]","[1812, 2666, 3157, 3488, 3892, 3958]","[1103, 1259, 1347, 1376, 1592, 1746]","[2784, 2817, 3512, 3809, 4848, 5182]","[346, 909, 1576, 1639, 2320, 2365]","[1388, 3310, 4338, 5146, 5567, 5648]","[1019, 1083, 1118, 1123, 1127, 1144]"
2473,2473,7787400105,20150306T000000,1865000.0,4.0,2.5,2950,43560,1.0,0,2,4,9,2550,400,1951,0,98004,47.5988,-122.207,3260,41016,"[258, 693, 725, 1092, 1256, 1302]","[1383, 1392, 1394, 1423, 1519, 1717]","[1244, 1266, 1272, 1273, 1297, 1297]","[2030, 2240, 2350, 2503, 2782, 3258]","[1192, 1529, 1576, 1665, 1757, 1916]","[2194, 4160, 4670, 4693, 4734, 4844]","[1593, 2206, 2249, 2316, 2466, 2648]","[1401, 3098, 3812, 5337, 5937, 6108]","[1294, 1316, 1643, 1797, 1833, 1898]"
2569,2569,292000070,20150406T000000,895000.0,5.0,2.5,2350,14197,1.0,0,0,4,8,1220,1130,1962,0,98004,47.6005,-122.204,2470,11629,"[493, 551, 820, 889, 974, 1182]","[1138, 1149, 1163, 1227, 1233, 1451]","[1039, 1056, 1062, 1074, 1077, 1078]","[2041, 2261, 2351, 2559, 2573, 3045]","[981, 1241, 1317, 1395, 1543, 1675]","[2464, 3942, 4534, 4551, 4640, 4691]","[1318, 2014, 2023, 2188, 2356, 2440]","[1460, 3102, 3810, 5574, 5722, 5831]","[1090, 1091, 1351, 1549, 1585, 1664]"
2596,2596,8056000075,20140521T000000,1065000.0,2.0,1.75,1890,9466,2.0,0,0,3,8,1890,0,1987,0,98004,47.6144,-122.211,2180,12825,"[456, 565, 812, 1149, 1277, 1326]","[472, 494, 569, 597, 644, 719]","[483, 502, 548, 564, 574, 585]","[1674, 2963, 3117, 3411, 3595, 3640]","[768, 889, 995, 1049, 1282, 1418]","[2911, 2933, 3450, 3775, 4805, 4875]","[646, 700, 1195, 1516, 1942, 2010]","[1760, 3089, 4297, 5374, 5518, 5935]","[671, 737, 762, 779, 784, 791]"
2717,2717,9808590310,20150408T000000,1000750.0,3.0,2.75,3070,10739,2.0,0,0,3,10,2440,630,1987,0,98004,47.6444,-122.191,3490,11913,"[914, 1469, 1686, 1866, 2119, 2295]","[869, 1284, 1462, 1790, 2295, 2488]","[480, 638, 726, 1071, 1318, 1344]","[1872, 1984, 3345, 3641, 3805, 3819]","[690, 1743, 2063, 2293, 2735, 2785]","[438, 1833, 2035, 2123, 2688, 2748]","[1297, 2138, 2448, 2470, 2945, 3027]","[888, 3807, 4073, 4223, 4343, 4498]","[1862, 1862, 2883, 3020, 3053, 3100]"
2740,2740,1552100135,20140609T000000,1150000.0,3.0,2.5,2850,10474,1.0,0,0,4,8,1730,1120,1954,0,98004,47.6218,-122.209,2820,10474,"[987, 995, 1056, 1066, 1240, 1275]","[589, 623, 652, 691, 746, 750]","[456, 476, 482, 504, 524, 526]","[905, 2534, 2851, 3449, 3969, 4334]","[768, 990, 1036, 1186, 1376, 1390]","[2156, 2166, 2624, 4042, 4611, 4975]","[462, 729, 923, 1551, 1564, 1858]","[1767, 3465, 3830, 5369, 5874, 6014]","[708, 754, 795, 859, 918, 948]"
2812,2812,1651500060,20140929T000000,845000.0,5.0,2.0,1720,9972,1.0,0,0,4,8,1720,0,1951,0,98004,47.6368,-122.218,2700,9023,"[781, 1173, 1552, 2015, 2166, 2169]","[340, 377, 1291, 1758, 2360, 2365]","[1322, 1328, 1329, 1341, 1511, 1552]","[1353, 1469, 1624, 4061, 4910, 4967]","[1518, 2371, 2412, 2486, 2662, 2781]","[369, 404, 1773, 2563, 3912, 4197]","[1314, 1580, 2173, 2242, 3115, 3233]","[2091, 2343, 4484, 4714, 5067, 5617]","[2380, 2384, 2438, 2492, 2555, 2618]"
2899,2899,9808100100,20150202T000000,3000000.0,5.0,3.25,5370,14091,2.0,0,0,3,10,3850,1520,1918,2008,98004,47.6499,-122.216,2410,12047,"[1253, 1333, 1459, 1865, 1948, 1958]","[1024, 1627, 1664, 1884, 2003, 2159]","[969, 984, 1007, 1011, 1114, 1336]","[1790, 2351, 2701, 3502, 3574, 3639]","[1412, 3000, 3076, 3299, 3454, 3594]","[1058, 1107, 1239, 1581, 2567, 2971]","[1688, 2037, 2275, 2739, 2918, 3225]","[1521, 3276, 3469, 3606, 4906, 5287]","[1017, 1022, 2966, 2967, 2972, 2999]"
2986,2986,3860400100,20141121T000000,950000.0,4.0,2.75,2500,20000,1.0,0,0,4,8,1700,800,1969,0,98004,47.5901,-122.198,2650,20000,"[456, 516, 1133, 1212, 1390, 1575]","[1151, 1812, 2244, 2288, 2344, 2500]","[1154, 1795, 1835, 1953, 2203, 2224]","[873, 1128, 1593, 2222, 2268, 2937]","[1454, 1761, 1773, 1856, 1905, 2184]","[1899, 3602, 3611, 4191, 5766, 5781]","[2329, 2329, 2605, 2663, 2747, 2775]","[223, 2650, 4276, 4624, 5557, 5868]","[2012, 2265, 2296, 2609, 2657, 2690]"
3091,3091,251620110,20140702T000000,2288000.0,4.0,2.5,4080,18362,2.0,0,2,4,11,4080,0,1983,0,98004,47.6344,-122.214,4080,19991,"[389, 1574, 1765, 1768, 1879, 1957]","[646, 667, 978, 1486, 1999, 2052]","[974, 997, 997, 1004, 1425, 1441]","[1224, 1726, 1743, 3894, 4713, 5078]","[1426, 1981, 2021, 2089, 2262, 2402]","[720, 721, 1667, 2720, 4049, 4276]","[995, 1180, 1878, 1945, 2832, 2932]","[2057, 2354, 4782, 4909, 5279, 5295]","[2060, 2115, 2182, 2244, 2300, 2338]"
3229,3229,9808700405,20140604T000000,1901000.0,3.0,2.5,2660,13367,2.0,0,2,3,10,2660,0,1992,0,98004,47.6501,-122.217,2660,13367,"[1205, 1355, 1514, 1935, 1990, 2009]","[1062, 1628, 1665, 1942, 2064, 2230]","[1005, 1022, 1039, 1043, 1147, 1412]","[1744, 2318, 2753, 3513, 3589, 3714]","[1488, 3003, 3076, 3361, 3527, 3641]","[1075, 1118, 1276, 1658, 2592, 3010]","[1699, 2098, 2304, 2787, 2912, 3233]","[1593, 3279, 3464, 3598, 4843, 5209]","[1050, 1054, 2962, 2963, 2972, 2993]"
3256,3256,540100057,20150428T000000,1208000.0,4.0,3.75,3250,10949,2.0,0,0,4,9,2940,310,1930,1989,98004,47.639,-122.219,2340,15234,"[968, 991, 1486, 2204, 2387, 2390]","[426, 467, 1421, 1847, 2165, 2618]","[1468, 1471, 1471, 1547, 1576, 1596]","[1228, 1463, 1839, 4051, 4706, 4768]","[1492, 2606, 2614, 2721, 2893, 3030]","[124, 192, 1749, 2373, 3724, 4038]","[1448, 1809, 2415, 2495, 2902, 3415]","[2235, 2269, 4425, 4499, 4838, 5660]","[2180, 2184, 2687, 2741, 2807, 2869]"
3269,3269,1266200015,20150127T000000,805500.0,3.0,1.0,1440,10330,1.0,0,0,4,7,1440,0,1952,0,98004,47.6245,-122.193,2080,10327,"[240, 247, 547, 1525, 1538, 1789]","[606, 624, 632, 754, 895, 1007]","[404, 587, 594, 611, 621, 636]","[695, 2908, 3417, 3444, 3491, 3624]","[257, 547, 568, 716, 721, 1130]","[2179, 2552, 2585, 3748, 3831, 4261]","[784, 930, 1114, 1245, 1275, 1356]","[2991, 3030, 4021, 4714, 5305, 5341]","[977, 1007, 1055, 1094, 1110, 1127]"
3277,3277,8085400490,20140801T000000,1306000.0,5.0,2.5,2770,8100,2.0,0,0,3,9,2770,0,2002,0,98004,47.6341,-122.208,2070,8100,"[157, 1428, 1433, 1855, 1955, 2246]","[535, 1058, 1092, 1116, 1838, 1844]","[548, 556, 946, 972, 1130, 1205]","[877, 2158, 2192, 3514, 4413, 4950]","[1167, 1619, 1740, 1803, 1958, 2148]","[1002, 1037, 1377, 2674, 3959, 4118]","[549, 888, 1735, 2054, 2477, 2721]","[2157, 2363, 4881, 5153, 5232, 5306]","[1867, 1923, 2002, 2059, 2111, 2153]"
